celebrity_name,partner,industry,age,season,week,judge_score,is_eliminated,v_hidden,partner_grouped_Anna Trebunskaya,partner_grouped_Artem Chigvintsev,partner_grouped_Cheryl Burke,partner_grouped_Derek Hough,partner_grouped_Edyta Sliwinska,partner_grouped_Emma Slater,partner_grouped_Gleb Savchenko,partner_grouped_Karina Smirnoff,partner_grouped_Kym Johnson,partner_grouped_Lindsay Arnold,partner_grouped_Louis van Amstel,partner_grouped_Maksim Chmerkoskiy,partner_grouped_Mark Ballas,partner_grouped_Other,partner_grouped_Peta Murgatroyd,partner_grouped_Sasha Farber,partner_grouped_Sharna Burgess,partner_grouped_Tony Dovolani,partner_grouped_Valentin Chmerkovskiy,partner_grouped_Witney Carson,industry_grouped_Athlete,industry_grouped_Comedian,industry_grouped_Entrepreneur,industry_grouped_Model,industry_grouped_Other,industry_grouped_Racing Driver,industry_grouped_Radio Personality,industry_grouped_Singer/Rapper,industry_grouped_Social Media Personality,industry_grouped_TV Personality,homestate_Alaska,homestate_Arizona,homestate_Arkansas,homestate_California,homestate_Colorado,homestate_Connecticut,homestate_Delaware,homestate_Florida,homestate_Georgia,homestate_Hawaii,homestate_Illinois,homestate_Indiana,homestate_Iowa,homestate_Kansas,homestate_Kentucky,homestate_Louisiana,homestate_Maine,homestate_Maryland,homestate_Massachusetts,homestate_Michigan,homestate_Minnesota,homestate_Mississippi,homestate_Missouri,homestate_Nebraska,homestate_Nevada,homestate_New Hamshire,homestate_New Jersey,homestate_New Mexico,homestate_New York,homestate_North Carolina,homestate_Ohio,homestate_Oregon,homestate_Pennsylvania,homestate_Rhode Island,homestate_South Carolina,homestate_South Dakota,homestate_Tennessee,homestate_Texas,homestate_Unknown,homestate_Utah,homestate_Virginia,homestate_Washington,homestate_Washington D.C.,homestate_West Virginia,homestate_Wisconsin,region_Australia,region_Brazil,region_Canada,region_Chile,region_Croatia,region_Cuba,region_Czechoslovakia,region_England,region_France,region_Germany,region_Ireland,region_Italy,region_Mexico,region_New Zealand,region_Philippines,region_Poland,region_Russia,region_South Africa,region_South Korea,region_Spain,region_Taiwan China,region_United States,region_Venezuela,region_Wales,region_Yugoslavia,Est_Fan_Support,Est_Fan_Uncertainty,Judge_Score_Std,Age_Std,Fan_Support_Std,prob_elimination
John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,1,1,20.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.167678197475923,0.0437194623550999,-0.9459643301812054,1.0659355692159558,0.8107322197716943,0.0672847288256211
John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,1,2,26.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1746122503658488,0.0462380787502858,0.0026563085880930305,1.0659355692159558,0.9302290716679417,0.06840446530460409
John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,1,3,24.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2018319672551054,0.0517818485099178,-0.3135505710016731,1.0659355692159558,1.399315553903887,0.04575213751162863
John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,1,4,21.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2538469883095147,0.0441968165721071,-0.7878608903863223,1.0659355692159558,2.2957078032836655,0.02111921990109465
John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,1,5,27.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3147889736581012,0.0612409244416035,0.1607597483829761,1.0659355692159558,3.345941413131608,0.01007843954097209
John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,1,6,27.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4875884941651212,0.0794987218703709,0.1607597483829761,1.0659355692159558,6.323853326634608,0.0008695007831469762
Kelly Monaco,Alec Mazo,Actor/Actress,29,1,1,13.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1644167066115476,0.0459125636245429,-2.052688408745387,-0.5658742850909403,0.7545258572059477,0.03730163266836676
Kelly Monaco,Alec Mazo,Actor/Actress,29,1,2,17.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.181314926017316,0.037046990735412,-1.4202746495658547,-0.5658742850909403,1.0457385222513986,0.031872531605889924
Kelly Monaco,Alec Mazo,Actor/Actress,29,1,3,21.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.227208470323699,0.0525730898454035,-0.7878608903863223,-0.5658742850909403,1.8366373160782232,0.018177387197440328
Kelly Monaco,Alec Mazo,Actor/Actress,29,1,4,26.0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2676996873580891,0.0562984365382309,0.0026563085880930305,-0.5658742850909403,2.534435997724723,0.011333962351161539
