,Coefficient,P_Value,CI_Lower,CI_Upper
const,-2.570514859042435,8.29851552730556e-08,-3.510371717931139,-1.6306580001537312
Judge_Score_Std,-0.09576554434848994,0.18200825258613385,-0.23640500773822157,0.04487391904124169
Fan_Support_Std,-0.024793457078980133,0.7120727385821601,-0.1564589579284109,0.10687204377045063
Age_Std,0.3527180710511419,3.2787264350807073e-07,0.21734341351723066,0.48809272858505315
partner_grouped_Artem Chigvintsev,0.2940342904083927,0.6138379855627089,-0.848045879304736,1.4361144601215212
partner_grouped_Cheryl Burke,-0.06634691213966616,0.9036248670913052,-1.1402960152737,1.0076021909943675
partner_grouped_Derek Hough,-0.44725808181810706,0.4545615548517926,-1.6194596499154135,0.7249434862791992
partner_grouped_Edyta Sliwinska,0.486818511480089,0.4215916153839211,-0.7004287841402141,1.674065807100392
partner_grouped_Emma Slater,0.46810781155944226,0.401533866329406,-0.6255754599979478,1.5617910831168325
partner_grouped_Gleb Savchenko,0.6832396131814117,0.23639486467822723,-0.44773423798227163,1.814213464345095
partner_grouped_Jenna Johnson,0.19568460583278205,0.7709931712141042,-1.121960061147952,1.5133292728135164
partner_grouped_Karina Smirnoff,0.45062383555174457,0.4211196540173382,-0.6472358768913721,1.548483547994861
partner_grouped_Kym Johnson,0.10973946263645086,0.8521631838937354,-1.0444055387505433,1.2638844640234452
partner_grouped_Lindsay Arnold,0.01769879794196778,0.9781502076850047,-1.248874472619829,1.2842720685037647
partner_grouped_Louis van Amstel,0.6526514807563082,0.26957165423043006,-0.5059680973643641,1.8112710588769805
partner_grouped_Maksim Chmerkoskiy,0.08668418757851458,0.8797999745381084,-1.036809748611134,1.210178123768163
partner_grouped_Mark Ballas,0.17560971349802174,0.7566733748797575,-0.9352061675000174,1.2864255944960608
partner_grouped_Other,0.5579285228317037,0.2505462220122556,-0.39376624430545637,1.5096232899688637
partner_grouped_Peta Murgatroyd,0.32414715583484915,0.5661587057033265,-0.7832206612490864,1.4315149729187848
partner_grouped_Sasha Farber,-0.04271249221391323,0.9444532864959788,-1.2442392152208586,1.158814230793032
partner_grouped_Sharna Burgess,0.3383338140685261,0.5719069516467968,-0.8348243353000082,1.5114919634370605
partner_grouped_Tony Dovolani,0.41423773296585287,0.45160366761228765,-0.6643372735176405,1.4928127394493462
partner_grouped_Valentin Chmerkovskiy,-0.12644420274251333,0.8297059080625638,-1.2787015221373057,1.0258131166522788
partner_grouped_Witney Carson,-0.0031901514403338124,0.9957542165450234,-1.1781947399508086,1.1718144370701409
industry_grouped_Athlete,0.18426754641675896,0.3263979098745283,-0.18373686977101095,0.5522719626045289
industry_grouped_Comedian,0.0709340675005526,0.8482667201917158,-0.6557052659566928,0.797573400957798
industry_grouped_Entrepreneur,0.40988775437456226,0.5015390786962273,-0.7854715570171109,1.6052470657662354
industry_grouped_Model,1.0096174790749963,0.001852008294976323,0.37395452648689365,1.6452804316630991
industry_grouped_News Anchor,0.30651619593606877,0.6970535963134992,-1.2366622512025298,1.8496946430746672
industry_grouped_Other,-0.12449240059277891,0.7158386029751513,-0.7947759224795052,0.5457911212939475
industry_grouped_Racing Driver,-0.621802914003665,0.41098384601181237,-2.1041252363303675,0.8605194083230373
industry_grouped_Singer/Rapper,0.03743788986108486,0.8563783503541769,-0.3679901816715444,0.44286596139371415
industry_grouped_Social Media Personality,0.2813249711532463,0.5804767250927712,-0.7163198236910185,1.2789697659975112
industry_grouped_TV Personality,0.05043586507492668,0.8015604289830883,-0.34288452999309726,0.44375626014295066
